Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
00000000000myTOR,DE,2721,3,85.114.131.226,85.114.131.226,80,None,0,0,1,0,0,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
00000middleman,US,8,5,12.161.212.22,12.161.212.22,9029,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.1.22 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
0000freeforall,RU,160,8,82.146.61.92,fvda012.fvds.ru,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
01,FR,20,0,90.11.226.245,ABordeaux-256-1-107-245.w90-11.abo.wanadoo.fr,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Windows 'Longhorn' Service Pack 2 [workstation] {terminal services- single user},0,0
01af88cc40ba26dd71,CH,78,24,62.2.182.82,uru.ch,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
05Mb3,PL,0,0,213.238.91.125,213-238-91-125.adsl.inetia.pl,5071,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.26 on Very recent version of Windows [major=6-minor=1]  [workstation] {personal} {terminal services- single user},0,0
0nionRing,DE,4,0,92.230.226.120,g230226120.adsl.alicedsl.de,9001,None,0,1,1,0,1,0,1,1,0,Tor 0.2.1.26 on Linux armv5tejl,0,0
0trace,DE,526,0,85.214.71.145,0trace.de,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.2.10-alpha-dev (git-1108358e96e818f1) on Linux i686,0,0
0x0080,NL,788,22,62.212.66.193,0x0080.mine.nu,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on FreeBSD i386,0,0
0x0A,AT,27,8,81.217.49.218,h081217049218.dyn.cm.kabsi.at,443,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.2.16-alpha (git-04ed53b25b260ea7) on Linux x86_64,0,0
0x41414141,US,174,92,96.237.181.62,pool-96-237-181-62.bstnma.fios.verizon.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.24 on Linux i686,0,0
0x42FF,DE,741,4,188.40.166.29,ghostshell.subsignal.org,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
0x496953167,IT,19,3,93.146.215.59,net-93-146-215-59.cust.dsl.teletu.it,443,444,0,0,1,1,1,1,1,1,1,Tor 0.2.2.15-alpha (git-8ea1c7b8c5dd2314) on Linux i686,0,0
0xABCD,SG,447,3,120.50.40.184,184.40.50.120.static.idc.qala.com.sg,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux i686,0,0
0xbadc0ffe,DE,11,0,93.221.26.201,p5DDD1AC9.dip.t-dialin.net,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
0xBlackBeltEdition,GB,1,0,90.217.245.244,5ad9f5f4.bb.sky.com,4443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.13-alpha (git-feb8c1b5f67f2c6f) on Windows 7  [workstation],0,0
0xfacade,NL,18,2,85.144.124.47,s55907c2f.adsl.wanadoo.nl,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
1000rpmLinux,SE,1214,3,213.112.109.205,c-cd6d70d5.017-62-6b73642.cust.bredbandsbolaget.se,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
